
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000269                       # Number of seconds simulated (Second)
simTicks                                    269495500                       # Number of ticks simulated (Tick)
finalTick                                   269495500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      3.94                       # Real time elapsed on the host (Second)
hostTickRate                                 68404976                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1216828                       # Number of bytes of host memory used (Byte)
simInsts                                       423336                       # Number of instructions simulated (Count)
simOps                                         805829                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   107451                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     204534                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.cpu.numCycles                           538992                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1092097                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      208                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1006359                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1510                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               286470                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            389429                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 136                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              475688                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               2.115586                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              2.515482                       # Number of insts issued each cycle
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::0                    226814     47.68%     47.68% # Number of insts issued each cycle
system.cpu.numIssuedDist::1                     31625      6.65%     54.33% # Number of insts issued each cycle
system.cpu.numIssuedDist::2                     40895      8.60%     62.93% # Number of insts issued each cycle
system.cpu.numIssuedDist::3                     35144      7.39%     70.31% # Number of insts issued each cycle
system.cpu.numIssuedDist::4                     38089      8.01%     78.32% # Number of insts issued each cycle
system.cpu.numIssuedDist::5                     32213      6.77%     85.09% # Number of insts issued each cycle
system.cpu.numIssuedDist::6                     36126      7.59%     92.69% # Number of insts issued each cycle
system.cpu.numIssuedDist::7                     20921      4.40%     97.09% # Number of insts issued each cycle
system.cpu.numIssuedDist::8                     13861      2.91%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle
system.cpu.numIssuedDist::total                475688                       # Number of insts issued each cycle
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   15682     80.36%     80.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     80.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     80.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     80.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     80.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     80.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     80.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     80.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     80.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     80.36% # attempts to use FU when none available (Count)
